类别,归一形,原文形态,出现次数,语音前缀,建议繁译,状态,备注,例句
术语,ランダム,ランダム,3,-,隨機,采用,批次A定稿: 役職(身分)随机分配,ランダムﾆ決ﾒﾗﾚﾀ役職ﾆﾂｲﾃ
术语,ルート,ルート,3,-,,忽略,"普通词汇, 机翻按句处理",私が妨害でｷﾅｲルートｦ通ｯﾃ
术语,ロマンチック,ロマンチック,3,-,,忽略,"普通词汇, 机翻按句处理",ﾁｮｯﾄだｹロマンチックでｽﾖﾈ!｣
术语,ロープ,ロープ,3,-,,忽略,"普通词汇, 机翻按句处理",_4_｢ｱﾉロープ……給湯室ﾆｱｯﾀﾓﾉで､
术语,ワイヤーカッター,ワイヤーカッター,3,-,鋼絲鉗,采用,批次A定稿: 处刑手段名,"『処刑方法ﾊ“ワイヤーカッター""でｽ』"
章节事件,ROM2_1ターン目終了後,ROM2_1ターン目終了後,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_2ターン目終了後,ROM2_2ターン目終了後,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_3ターン目終了後,ROM2_3ターン目終了後,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_3ターン目開始,ROM2_3ターン目開始,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_4ターン目終了後,ROM2_4ターン目終了後,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_5ターン目終了後,ROM2_5ターン目終了後,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_6ターン目終了後,ROM2_6ターン目終了後,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_エピローグ_トゥルー,ROM2_エピローグ_トゥルー,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_エピローグ_ノーマル,ROM2_エピローグ_ノーマル,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ゲームオーバー,ROM2_ゲームオーバー,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン1,ROM2_ターン1,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン1_チュートリアル,ROM2_ターン1_チュートリアル,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン1_フリーイベント判定,ROM2_ターン1_フリーイベント判定,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン1_フリー移動,ROM2_ターン1_フリー移動,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン1_フリー移動制御,ROM2_ターン1_フリー移動制御,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン1_投票前,ROM2_ターン1_投票前,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン2,ROM2_ターン2,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン2_フリーイベント判定,ROM2_ターン2_フリーイベント判定,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン2_フリー移動,ROM2_ターン2_フリー移動,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン2_フリー移動イベント,ROM2_ターン2_フリー移動イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン2_協力者,ROM2_ターン2_協力者,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン2_投票前,ROM2_ターン2_投票前,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン2_投票前イベント,ROM2_ターン2_投票前イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン3,ROM2_ターン3,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン3_フリーイベント判定,ROM2_ターン3_フリーイベント判定,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン3_フリー移動,ROM2_ターン3_フリー移動,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン3_フリー移動イベント,ROM2_ターン3_フリー移動イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン3_投票前,ROM2_ターン3_投票前,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン3_投票前イベント,ROM2_ターン3_投票前イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン4,ROM2_ターン4,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン4_ツムじがシルキラ,ROM2_ターン4_ﾂﾑじがシルキラ,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン4_フリーイベント判定,ROM2_ターン4_フリーイベント判定,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン4_フリー移動,ROM2_ターン4_フリー移動,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン4_フリー移動イベント,ROM2_ターン4_フリー移動イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン4_投票前イベント,ROM2_ターン4_投票前イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン4_美紀ノ報告,ROM2_ターン4_美紀ﾉ報告,1,MIKI,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン5,ROM2_ターン5,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン5_フリーイベント判定,ROM2_ターン5_フリーイベント判定,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン5_フリー移動,ROM2_ターン5_フリー移動,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン5_フリー移動イベント,ROM2_ターン5_フリー移動イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン5_投票前イベント,ROM2_ターン5_投票前イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン6,ROM2_ターン6,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン6_フリーイベント判定,ROM2_ターン6_フリーイベント判定,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン6_フリー移動,ROM2_ターン6_フリー移動,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン6_フリー移動イベント,ROM2_ターン6_フリー移動イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン6_投票分岐,ROM2_ターン6_投票分岐,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン6_投票前イベント,ROM2_ターン6_投票前イベント,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン7,ROM2_ターン7,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン7_紅春トノ対決,ROM2_ターン7_紅春ﾄﾉ対決,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン7_紅春ノ罠,ROM2_ターン7_紅春ﾉ罠,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ターン7_紅春ヲ呼び出ス,ROM2_ターン7_紅春ｦ呼び出ｽ,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_トゥルーエンド,ROM2_トゥルーエンド,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_ノーマルエンディング,ROM2_ノーマルエンディング,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_プロローグ,ROM2_プロローグ,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_汎用人物セット,ROM2_汎用人物セット,1,-,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_香菜ノ隠レ家,ROM2_香菜ﾉ隠ﾚ家,1,KANA,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
章节事件,ROM2_香菜バッド,ROM2_香菜バッド,1,KANA,,忽略,校对忽略: 内部场景标签(シーンリプレイ未実装),
人名(片假名),ツムじ,柏木ﾂﾑじ/ﾂﾑじｸﾝ/ﾂﾑじ,,TUMU,旋,采用,"主角定稿: 全名柏木旋; かしわぎ つむじ, つむじ=发旋 意译; 原草案抽取遗漏(假名汉字混写)",
术语,プレス,プレス,,-,壓碎,采用,"死亡通知处刑手段名(t6, 与電流処刑/血抜き并列)",
术语,電流処刑,電流処刑,,-,電流處刑,采用,死亡通知处刑手段名(t6),
术语,血抜き,血抜ｷ,,-,放血,采用,死亡通知处刑手段名(t6),
术语,腕輪,腕輪,,-,手環,采用,游戏核心道具; 原草案抽取遗漏(汉字词),
术语,役職,役職,,-,身分,采用,随机分配的隐藏身份(市民/探偵/警官等); 身份的份不可编码,
术语,容疑者,容疑者,,-,嫌疑人,采用,"大陆词汇, 避免容疑者日式残留",
人名(汉字),今宮一郎,今宮一郎,,JACK,今宮一郎,采用,"ジャック本名, 繁简同形; 供译名对照",
